"Test","Trial","Subject","Sex","Strain","DOB","DOT","Week_of_Enrichment","Novel_Object_Side","Novel_object_","Treatment_","Testing_Tank_","Distance_moved","Velocity","In_zone","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","Movement","...28","...29","...30","Novel_Object_Zone","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","Zone_transition","...44","...45","...46","Turn_angle","Angular_velocity"
"FO","Trial_10",35,"M","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","1","2412.61","6.92164","58","245.6","0.12","68.749300000000005","64","99.92","7.2","27.97","9","10.76","0","3.0119799999999999","330.32","92.464399999999998","26","7.2780199999999997","10","2","113.12","24","9.6","0","3","1.08","113.24","19","9.36","0","293.83999999999997","311.92","79.959999999999994","345.84","-0.96789499999999995","-24.197399999999998"
"NO_RI_1","Trial_11",35,"M","AB",2020-11-04,2021-07-19,1,"1","3","Control","1","2491.9","7.1132200000000001","138","200.56","7.12","55.717300000000002","152","145.44","0.04","40.404499999999999","18","11.32","0","3.14479","339.36","94.277100000000004","19.28","5.3561500000000004","120","43.04","0","43","17.04","17.559999999999999","84","44.6","0","36","15.84","17.72","0.04","349.48","49.56","352.92","-0.60151399999999999","-15.0379"
"NO_RI_6","Trial_12",35,"M","AB",2020-11-04,2021-07-19,1,"1","2","Control","1","2146.66","6.1242200000000002","78","152.91999999999999","76.239999999999995","42.487200000000001","101","175.64","0","48.799700000000001","21","26.08","22.28","7.2460500000000003","328.44","91.253600000000006","30.84","8.5685699999999994","1","0.12","304.39999999999998","107","43","25.68","1","0.12","304.44","74","41.64","25.8","266.16000000000003","301","123.92","328.2","-0.90903400000000001","-22.7258"
"NT","Trial_13",37,"F","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","1","1258.6400000000001","3.5118299999999998","9","17.2","0","4.7777799999999999","20","25.68","84.76","7.1333299999999999","13","315.39999999999998","0.88","87.611099999999993","200.76","55.7667","158.96","44.1556","207","95.16","0.88","80","57.08","7.92","85","110.92","0.88","27","114.68","8.0399999999999991","-","-","96.08","221.12","0.215118","5.3779399999999997"
"FO","Trial_14",37,"F","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","1","1256.3699999999999","3.7039200000000001","16","16.04","7.28","4.4560500000000003","61","68.599999999999994","0","19.057700000000001","71","262.92","0.16","73.041399999999996","233.6","64.896100000000004","117.12","32.536900000000003","55","153.68","0","77","77.28","152.28","34","156.04","0","64","78.760000000000005","152.44","6.32","359.84","211.24","272.04000000000002","-0.55084299999999997","-13.771100000000001"
"NO_RI_1","Trial_15",37,"F","AB",2020-11-04,2021-07-19,1,"2","3","Control","1","1437.65","4.2599600000000004","27","41.12","55.92","11.4222","81","86.08","1.28","23.911100000000001","78","220.56","0","61.2667","274.8","76.333299999999994","76.52","21.255600000000001","197","188.68","0","2","0.48","309.76","116","205.76","0","1","0.24","313.88","1.28","350.56","55.92","351.48","-0.31036799999999998","-7.7591900000000003"
"NO_RI_6","Trial_16",37,"F","AB",2020-11-04,2021-07-19,1,"2","2","Control","1","1262.24","3.7692399999999999","63","193.52","7.88","53.755600000000001","91","108.6","0","30.166699999999999","31","48.32","4.24","13.4222","245.36","68.155600000000007","106.08","29.466699999999999","137","94","0","1","0.44","135.44","99","105.92","0","1","0.52","135.44","9.56","356.56","36.64","358.52","0.82670399999999999","20.6676"
"NT","Trial_17",39,"M","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","1","2731.99","7.77813","30","19.760000000000002","119.96","5.4888899999999996","81","80.2","79.8","22.277799999999999","51","251.92","0","69.977800000000002","336.36","93.433300000000003","22.68","6.3","139","113.36","3.48","96","96.84","0","92","119.52","3.52","67","98.16","0","94.88","313.68","155.88","340.84","0.94641200000000003","23.660299999999999"
"FO","Trial_18",39,"M","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","1","2829.92","8.3439099999999993","109","192.4","0","53.444400000000002","149","118","0.52","32.777799999999999","59","42.56","0.72","11.8222","335.04","93.066699999999997","14.16","3.9333300000000002","93","43.04","0.52","68","24.6","27.52","81","43.44","0.52","54","22.08","27.6","37.68","286.8","19.36","355.56","0.39476299999999998","9.8690899999999999"
"NO_RI_1","Trial_19",39,"M","AB",2020-11-04,2021-07-19,1,"1","3","Control","1","3167.63","8.9693799999999992","102","142.44","0","39.566699999999997","181","157.68","0.52","43.8","70","51.68","1.4","14.355600000000001","348.88","96.911100000000005","10.4","2.88889","131","63.56","2.04","44","10.48","115.08","98","63.8","2.08","34","9.8800000000000008","115.52","34.76","283.08","61","350.12","0.15326100000000001","3.8315100000000002"
"NO_RI_6","Trial_20",39,"M","AB",2020-11-04,2021-07-19,1,"2","2","Control","1","2930.74","8.3193400000000004","76","141.6","31.88","39.333300000000001","111","149.08000000000001","6.52","41.411099999999998","36","60.88","0","16.911100000000001","343.04","95.288899999999998","14.88","4.1333299999999999","49","22.84","6.56","50","22.88","0","37","21.8","6.6","33","21.28","0","6.52","135.47999999999999","107","299.88","-2.1828699999999999","-54.571800000000003"
"NT","Trial_21",41,"M","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","1","2469.0300000000002","7.0567900000000003","31","117.36","0","32.6","58","78.56","0.92","21.822199999999999","33","159.6","0.16","44.333300000000001","335.84","93.288899999999998","23.52","6.5333300000000003","55","62.44","0.16","61","73.52","7","42","62.56","0.16","42","72.760000000000005","7.04","0.92","148.16","121.64","300.52","-0.44143700000000002","-11.0359"
"FO","Trial_22",41,"M","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","1","1754.45","5.2390600000000003","41","144.6","3","40.166699999999999","102","179.8","0.16","49.944400000000002","75","30.76","0.12","8.5444399999999998","318.27999999999997","88.411100000000005","32.64","9.0666700000000002","18","24.28","0.92","64","38.200000000000003","0.12","14","23.16","0.92","42","35.56","0.12","0.16","354.24","3","349.96","-1.0127200000000001","-25.318000000000001"
"NO_RI_1","Trial_23",41,"M","AB",2020-11-04,2021-07-19,1,"1","2","Control","1","2286.5500000000002","7.0905199999999997","151","123.88","10.64","34.411099999999998","216","168.92","0.08","46.922199999999997","75","50.8","0","14.1111","323.48","89.855599999999995","18.48","5.1333299999999999","16","12.68","0","254","112.84","10.68","11","12.16","0","208","114.24","10.68","0.08","305.95999999999998","11.2","339.88","-0.20366799999999999","-5.09171"
"NO_RI_6","Trial_24",41,"M","AB",2020-11-04,2021-07-19,1,"2","3","Control","1","2641.02","7.8658000000000001","136","130.63999999999999","6.12","36.292900000000003","191","184.08","0.08","51.139000000000003","52","35.36","0","9.8233099999999993","336.48","93.477099999999993","14.16","3.93377","135","63.28","0","103","49.96","12.12","105","63.92","0","85","48.36","12.12","0.08","332.24","32.479999999999997","332.72","-2.4860600000000002","-62.151400000000002"
"NT","Trial_25",43,"F","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","1","1289.5999999999999","3.6175999999999999","9","19.559999999999999","139.47999999999999","5.4333299999999998","28","40.200000000000003","104.68","11.166700000000001","19","297","0","82.5","259.83999999999997","72.177800000000005","100","27.777799999999999","33","99","0","85","130.91999999999999","61.52","19","98.56","0","55","135.88","61.6","-","-","269.04000000000002","311.88","0.37994499999999998","9.4986200000000007"
"FO","Trial_26",43,"F","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","1","1504.84","4.3755600000000001","24","32.64","2.08","9.0929400000000005","63","110.84","0.8","30.8781","42","201.28","0","56.073099999999997","254.48","70.893699999999995","95.32","26.554500000000001","66","100.36","0","33","28.16","10.48","48","98.68","0","24","28.04","10.72","0.8","189.72","2.08","264.76","1.5486200000000001","38.715600000000002"
"NO_RI_1","Trial_27",43,"F","AB",2020-11-04,2021-07-19,1,"2","2","Control","1","1409.77","4.2632399999999997","4","6.88","124.68","1.9111100000000001","29","49.72","43.4","13.8111","64","289.44","0","80.400000000000006","270.08","75.022199999999998","77.040000000000006","21.4","112","118.04","0","111","97.04","21","61","122.12","0","71","98.36","21.32","48.76","341.4","273.36","328.68","-0.221636","-5.5408900000000001"
"NO_RI_6","Trial_28",43,"F","AB",2020-11-04,2021-07-19,1,"2","3","Control","1","1168.9100000000001","3.5807799999999999","2","1.44","8.4","0.40004400000000001","31","35.6","1.88","9.8899899999999992","73","307.68","0.08","85.476200000000006","262.92","73.041399999999996","80.84","22.458100000000002","125","174.6","0","13","5.72","56.44","94","179.44","0","6","4.4800000000000004","56.56","1.88","309.32","8.4","8.4","0.80218599999999995","20.0547"
"NT","Trial_29",45,"F","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","1","1911.24","5.4222799999999998","15","36.92","91.68","10.255599999999999","44","98.76","1.92","27.433299999999999","29","218","0.08","60.555599999999998","319.56","88.7667","40","11.1111","126","117.96","1.52","64","85.32","0.08","69","120.52","1.56","44","86.84","0.08","218.2","295.44","91.68","305.64","0.29954399999999998","7.4885999999999999"
"FO","Trial_30",45,"F","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","1","2429.0100000000002","7.1753900000000002","57","235.56","11.56","65.433300000000003","80","89.96","0","24.988900000000001","32","24.76","0.36","6.8777799999999996","302.48","84.022199999999998","49.32","13.7","53","23.12","0","42","28.28","11.08","42","23.44","0","38","28.56","11.16","0.92","345.52","73.040000000000006","196.48","-0.60103600000000001","-15.0259"
"NO_RI_1","Trial_31",45,"F","AB",2020-11-04,2021-07-19,1,"2","2","Control","1","2069.71","6.1226799999999999","69","182.68","2.2799999999999998","50.744399999999999","112","125.88","0","34.966700000000003","47","42.64","78.599999999999994","11.8444","304.88","84.688900000000004","47.6","13.222200000000001","172","72.12","0.28000000000000003","19","8.1999999999999993","154.6","130","71.08","0.32","14","7.96","154.63999999999999","94.84","324.48","64.2","325.16000000000003","0.752664","18.816600000000001"
"NO_RI_6","Trial_32",45,"F","AB",2020-11-04,2021-07-19,1,"2","3","Control","1","772.35400000000004","3.6473100000000001","99","288.36","0.36","80.117800000000003","24","40.56","0","11.2692","9","13.4","169.68","3.7230500000000002","215.72","59.935499999999998","96.6","26.839300000000001","72","28.8","0","0","0","-","40","29.36","0","0","0","-","171.04","322.16000000000003","0.36","325.24","-7.9369300000000004E-2","-1.9842299999999999"
"NT","Trial_33",47,"M","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","1","2608.5700000000002","7.3299000000000003","44","178.56","2.72","49.6","70","107.24","0","29.788900000000002","25","70","0.08","19.444400000000002","343.56","95.433300000000003","16.2","4.5","55","46.56","0","45","38.24","1.1200000000000001","47","45.52","0","39","37.799999999999997","1.2","3.04","15.2","46.8","348.32","0.13047900000000001","3.2619799999999999"
"FO","Trial_34",47,"M","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","1","2229.91","6.2490300000000003","34","258.68","0","71.855599999999995","49","74.239999999999995","43","20.622199999999999","14","24.96","76.52","6.9333299999999998","334.08","92.8","25.72","7.1444400000000003","14","6.08","118.24","28","9.2799999999999994","92.56","7","5.16","118.36","19","8","92.64","90.52","90.52","225.52","294.83999999999997","-0.75345300000000004","-18.836300000000001"
"NO_RI_1","Trial_35",47,"M","AB",2020-11-04,2021-07-19,1,"2","2","Control","1","2035.58","5.74763","40","289.83999999999997","0","80.511099999999999","48","57.8","1.84","16.055599999999998","10","11.16","31.72","3.1","330.32","91.755600000000001","29.52","8.1999999999999993","34","17.399999999999999","13.76","8","3.44","30.28","24","16.12","13.92","5","3.12","127.68","-","-","91.56","151.16","-0.42294199999999998","-10.573499999999999"
"NO_RI_6","Trial_36",47,"M","AB",2020-11-04,2021-07-19,1,"2","3","Control","1","2060.34","5.8954300000000002","40","263.48","7.48","73.188900000000004","47","79.92","30.76","22.2","13","14.44","0","4.0111100000000004","332.24","92.288899999999998","24.48","6.8","33","16.48","0","2","0.32","164.96","27","14.88","0","1","0.16","196.28","-","-","172.28","354.4","0.30375200000000002","7.5937900000000003"
"NT","Trial_37",49,"F","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","1","2218.5100000000002","6.3061800000000003","13","25.52","136.12","7.0888900000000001","43","69.08","0.04","19.1889","32","258.32","0","71.755600000000001","329.96","91.655600000000007","29.84","8.2888900000000003","89","111.68","0.6","57","98.76","6.72","61","112.16","0.68","46","99.28","6.76","0.04","51.96","247.24","247.24","-9.9310399999999993E-2","-2.4827599999999999"
"FO","Trial_38",49,"F","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","1","1709.61","5.0395300000000001","15","78.959999999999994","0.12","22.120100000000001","63","127.64","0.28000000000000003","35.7575","57","137.96","0","38.648600000000002","314.32","88.054699999999997","39.44","11.0489","16","2.8","0.44","81","43.12","0","6","2.4","0.44","59","43.04","0","0.28000000000000003","339.84","100.44","100.44","1.07209","26.802199999999999"
"NO_RI_1","Trial_39",49,"F","AB",2020-11-04,2021-07-19,1,"2","3","Control","1","1950.27","6.0305099999999996","23","50.44","12.44","14.011100000000001","59","59.28","0.28000000000000003","16.466699999999999","101","238.88","0","66.355599999999995","292.12","81.144400000000005","52","14.4444","297","164.8","0","9","2.68","95.44","204","166.76","0","7","2.72","100.92","0.28000000000000003","121.4","21.44","89.2","1.9335500000000001","48.338799999999999"
"NO_RI_6","Trial_40",49,"F","AB",2020-11-04,2021-07-19,1,"1","2","Control","1","1694.97","4.9554600000000004","25","37.28","8.52","10.355600000000001","70","159.16","0.2","44.211100000000002","51","153.32","0","42.588900000000002","297.56","82.655600000000007","58.36","16.211099999999998","53","32.119999999999997","0","63","46.48","39.479999999999997","38","32.159999999999997","0","46","46.32","39.56","0.2","222.6","82.12","88.96","0.61834100000000003","15.458500000000001"
"NT","Trial_41",51,"F","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","1","2123.94","6.0587099999999996","39","76.48","59.56","21.244399999999999","78","129.12","0","35.866700000000002","35","147.84","0.32","41.066699999999997","332.6","92.388900000000007","27.08","7.5222199999999999","112","103.24","0","52","58.6","18.96","80","104.08","0","41","58.72","19.12","281.16000000000003","336.32","133.12","356.28","-0.23697799999999999","-5.9244599999999998"
"FO","Trial_42",51,"F","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","1","1949.26","5.5623300000000002","64","158.24","3.04","44.058399999999999","64","197.8","3.8","55.072899999999997","10","2.52","0","0.70163699999999996","326.36","90.867599999999996","30.08","8.3750999999999998","48","11.12","0","32","10","46.16","34","9.36","0","19","9","46.24","3.8","3.8","348.4","348.4","-0.15804499999999999","-3.9511400000000001"
"NO_RI_1","Trial_43",51,"F","AB",2020-11-04,2021-07-19,1,"1","2","Control","1","2024.51","5.8920399999999997","62","171.24","9.2799999999999994","47.566699999999997","81","170.24","3.16","47.288899999999998","35","11.56","0","3.2111100000000001","328.36","91.211100000000002","26.56","7.3777799999999996","7","7.84","0","119","70.36","9.36","6","7.76","0","78","71.400000000000006","9.36","3.16","346.24","9.2799999999999994","328","-1.63029","-40.757300000000001"
"NO_RI_6","Trial_44",51,"F","AB",2020-11-04,2021-07-19,1,"2","3","Control","1","1509.57","4.4698799999999999","57","103.08","28.64","28.633299999999998","64","249.52","4.76","69.311099999999996","6","6.2","0.04","1.7222200000000001","291.12","80.866699999999994","63.48","17.633299999999998","126","65.239999999999995","0.04","4","0.48","142.12","67","62.88","0.04","2","0.44","195.8","4.76","8.56","-","-","-0.118853","-2.97132"
"NT","Trial_45",53,"M","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","1","1233.6099999999999","3.5538599999999998","16","34.68","0.36","9.6376200000000001","36","92.32","0.16","25.655799999999999","24","227.48","0","63.216999999999999","274.56","76.300600000000003","84.24","23.410399999999999","89","94.92","0.6","35","59.56","5.44","47","103.32","0.6","21","59.88","5.44","0.16","49.72","8.4","354.8","0.91029300000000002","22.757300000000001"
"FO","Trial_46",53,"M","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","1","972.471","2.7595700000000001","12","13.12","131.24","3.6444399999999999","47","64.8","0.08","18","33","276.12","0.4","76.7","201.96","56.1","155.72","43.255600000000001","41","30.08","0.08","43","33.72","9.6","17","40.72","0.08","27","36.520000000000003","9.8000000000000007","2.2400000000000002","330.84","353.4","353.4","7.7152100000000001E-2","1.9288000000000001"
"NO_RI_1","Trial_47",53,"M","AB",2020-11-04,2021-07-19,1,"1","3","Control","1","1326.56","3.7849900000000001","12","13.84","8.56","3.8444400000000001","51","159.68","3.76","44.355600000000003","55","169.12","0","46.977800000000002","277.56","77.099999999999994","79.319999999999993","22.033300000000001","63","49.84","0","31","15.04","13","38","48.32","0","11","10.199999999999999","13.28","3.76","169.92","335.76","335.76","-8.5311600000000001E-2","-2.13279"
"NO_RI_6","Trial_48",53,"M","AB",2020-11-04,2021-07-19,1,"2","2","Control","1","1016.63","2.9529000000000001","24","23.48","9.6","6.5222199999999999","58","181.92","0.08","50.533299999999997","41","144.76","0.04","40.211100000000002","177.8","49.3889","175.12","48.644399999999997","54","99.76","0.04","23","14.56","238.6","32","100.8","0.04","13","13.32","242.52","0.08","12.52","9.6","312.76","-0.62501600000000002","-15.625400000000001"
"NT","Trial_49",55,"M","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","1","3211.66","8.9902099999999994","5","3.4","21.16","0.94444399999999995","35","42.96","0.08","11.933299999999999","35","309.52","0.12","85.977800000000002","343.28","95.355599999999995","16.600000000000001","4.61111","80","62.88","2.76","161","150.19999999999999","0.08","62","63.84","2.88","109","151.96","0.12","0.52","18.52","88.88","113.48","0.99695100000000003","24.9238"
"FO","Trial_50",55,"M","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","1","2392.58","7.0719500000000002","7","10.64","12.6","2.9555600000000002","89","84.24","0","23.4","82","252.8","16.36","70.222200000000001","256.83999999999997","71.344399999999993","99.04","27.511099999999999","74","167.88","0","93","54.64","11.88","52","168.64","0","58","53.56","11.96","49.24","324.12","175.88","175.88","-1.32016","-33.003999999999998"
"NO_RI_1","Trial_51",55,"M","AB",2020-11-04,2021-07-19,1,"1","2","Control","1","1817.23","5.6288900000000002","25","32.96","7.6","9.1555599999999995","66","78.400000000000006","2.6","21.777799999999999","101","232.72","0","64.644400000000005","297.39999999999998","82.611099999999993","46.44","12.9","168","92.24","0","89","82.16","17.16","107","99.64","0","62","84.92","17.239999999999998","2.6","359.68","42.28","304.72000000000003","-0.278978","-6.9744599999999997"
"NO_RI_6","Trial_52",55,"M","AB",2020-11-04,2021-07-19,1,"2","3","Control","1","1463.75","4.43452","10","9.2799999999999994","4.08","2.5777800000000002","39","61.56","3.68","17.100000000000001","72","278.88","0","77.466700000000003","270.39999999999998","75.111099999999993","76.92","21.366700000000002","235","186.68","0","5","1.76","11.76","136","200.12","0","5","1.32","11.76","3.68","347.76","4.08","106.56","0.22711700000000001","5.6779299999999999"
"NT","Trial_53",57,"M","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","1","3108.01","8.7421600000000002","101","79.88","2.64","22.1889","185","141","0","39.166699999999999","79","130.52000000000001","0.2","36.255600000000001","346.96","96.377799999999993","12.96","3.6","81","49","1.88","178","98.88","0","58","49.68","1.96","135","101.64","0","0.4","353.8","28.84","352.12","1.3652599999999999","34.131399999999999"
"FO","Trial_54",57,"M","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","1","2207.38","6.8196500000000002","60","169.44","27.2","47.066699999999997","90","66.28","10.119999999999999","18.411100000000001","52","101.64","0.2","28.2333","288.72000000000003","80.2","45.36","12.6","290","47.12","0.2","81","42.72","61.4","66","24.12","0.2","63","42.72","61.52","10.119999999999999","358.76","27.2","359.04","-0.17741499999999999","-4.4353800000000003"
"NO_RI_1","Trial_55",57,"M","AB",2020-11-04,2021-07-19,1,"1","3","Control","1","2701.24","7.7107799999999997","122","191.72","0","53.255600000000001","147","112.32","1","31.2","37","52.8","46.08","14.666700000000001","335.76","93.2667","22.04","6.1222200000000004","44","12.8","38.92","106","53.36","37.840000000000003","30","12.32","39","70","54.24","125.8","46.4","356.36","2.04","351.16","-0.13517199999999999","-3.3792900000000001"
"NO_RI_6","Trial_56",57,"M","AB",2020-11-04,2021-07-19,1,"2","2","Control","1","2414.7199999999998","7.5065799999999996","93","146.44","12.04","40.677799999999998","158","97.2","2.2400000000000002","27","74","103.36","0","28.711099999999998","320.48","89.022199999999998","19.760000000000002","5.4888899999999996","51","48.48","0","87","61.84","148.12","39","48.48","0","62","62.88","148.47999999999999","2.2400000000000002","342.4","31.56","336.32","-0.323795","-8.0948899999999995"
"NT","Trial_1",32,"F","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","2","1425.33","4.2633599999999996","1","0.52","271.72000000000003","0.144509","13","14.2","189.16","3.9462000000000002","14","345.04","0","95.887100000000004","249.96","69.464200000000005","109.48","30.424600000000002","84","120.6","0.2","37","49.2","10.4","32","134.32","0.2","23","47.72","10.48","-","-","-","-","1.5916999999999999","39.792499999999997"
"FO","Trial_2",32,"F","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","2","1573.08","4.9825200000000001","0","0","-","0","39","34.159999999999997","25.76","9.4888899999999996","68","319.92","0","88.866699999999994","270.39999999999998","75.111099999999993","81.48","22.633299999999998","29","34.6","24.44","149","82.2","38.92","13","33.799999999999997","25.6","83","82.24","41.56","-","-","-","-","-0.90834400000000004","-22.708600000000001"
"NO_RI_1","Trial_3",32,"F","AB",2020-11-04,2021-07-19,1,"1","3","Control","2","937.72500000000002","3.2723499999999999","0","0","-","0","31","12.04","0.16","3.3444400000000001","87","310.64","0.04","86.288899999999998","117.04","32.511099999999999","197.44","54.8444","14","5.24","0.04","419","234.48","0.16","9","4.96","0.04","145","278.52","0.16","0.16","355.64","-","-","-0.27083600000000002","-6.7708899999999996"
"NO_RI_6","Trial_4",32,"F","AB",2020-11-04,2021-07-19,1,"1","2","Control","2","1612.01","5.9845800000000002","2","1.48","113.68","0.411111","97","96.72","20.2","26.866700000000002","103","209.52","0","58.2","247.88","68.855599999999995","54.24","15.066700000000001","128","126.52","20.04","126","95.2","0","56","131.24","20.04","70","97.88","0","95.68","319.39999999999998","-","-","-0.36130499999999999","-9.0326299999999993"
