"...1","Trials","Subject","sex","Strain","DOB","DOT","Week_of_enrichment","Novel_object_side","Novel_object_#","Treatment","Testing_Tank","Distance_moved","Velocity","In_zone...15","In_zone...16","In_zone...17","In_zone...18","In_zone...19","In_zone...20","In_zone...21","In_zone...22","In_zone...23","In_zone...24","In_zone...25","In_zone...26","Movement...27","Movement...28","Movement...29","Movement...30","Novel_Object_Zone...31","Novel_Object_Zone...32","Novel_Object_Zone...33","Novel_Object_Zone...34","Novel_Object_Zone...35","Novel_Object_Zone...36","Novel_Object_Zone...37","Novel_Object_Zone...38","Novel_Object_Zone...39","Novel_Object_Zone...40","Novel_Object_Zone...41","Novel_Object_Zone...42","Zone_transition...43","Zone_transition...44","Zone_transition...45","Zone_transition...46","Turn_angle","Angular_velocity"
"NO_RI_6","Trial_8",33,"M","AB",2020-11-04,2021-07-13,0,2,2,"Control",1,"1191.23","4.74594","6","4.4800000000000004","21.08","1.2448600000000001","47","77.040000000000006","1.32","21.4071","102","211.76","0","58.841799999999999","176.72","49.1053","102.68","28.531700000000001","217","189","0","58","32.36","19.04","110","184.72","0","34","33.4","19.04","1.32","353.96","324.2","357.08","0.55678399999999995","13.919600000000001"
"NT","Trial_9",35,"F","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",1,"3425.49","9.6820000000000004","49","32.68","0","9.0777800000000006","102","129.91999999999999","0.6","36.088900000000002","56","188.28","1.28","52.3","323.52","89.866699999999994","35.840000000000003","9.9555600000000002","182","120.8","1.28","86","69.959999999999994","16.04","125","123.48","1.28","68","69.88","17.600000000000001","103.36","356","139.63999999999999","168.64","0.60174300000000003","15.0436"
"FO","Trial_10",35,"F","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",1,"3456.02","11.6067","0","0","-","0","84","29.28","0.04","8.1333300000000008","112","319.92","0","88.866699999999994","316.44","87.9","26.32","7.3111100000000002","189","142.16","0","140","76.88","19.48","139","143.4","0","114","77.040000000000006","19.600000000000001","0.04","306.92","-","-","1.7358100000000001","43.395299999999999"
"NO_RI_1","Trial_11",35,"F","AB",2020-11-04,2021-07-13,0,1,3,"Control",1,"1875.13","5.7175500000000001","4","1.04","6.08","0.28888900000000001","56","35.32","0.08","9.8111099999999993","86","311.08","1.56","86.411100000000005","268.83999999999997","74.677800000000005","82.4","22.8889","30","16.04","6.44","305","212.92","0.08","24","16.760000000000002","6.4","166","228.12","0.08","1.64","318.39999999999998","281.83999999999997","281.83999999999997","-5.3948400000000001E-2","-1.3487100000000001"
"NO_RI_6","Trial_12",35,"F","AB",2020-11-04,2021-07-13,0,1,2,"Control",1,"2387.62","7.1459900000000003","31","15.08","183.48","4.1888899999999998","113","155.04","0.36","43.066699999999997","104","172.52","0","47.922199999999997","311.08","86.411100000000005","40.44","11.2333","283","202.36","19","26","30.16","0","159","211.28","19.04","22","29.76","0","0.36","343.36","183.48","343.84","0.79472200000000004","19.867999999999999"
"NT","Trial_13",37,"F","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",1,"1007.99","3.3319800000000002","1","0.6","0","0.16666700000000001","2","2.2400000000000002","289.64","0.62222200000000005","14","314.36","0.6","87.322199999999995","152.63999999999999","42.4","161.88","44.966700000000003","46","71.92","1.36","189","44.8","7.12","36","72.48","1.6","51","172.32","7.16","-","-","-","-","1.8476600000000001","46.191499999999998"
"FO","Trial_14",37,"F","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",1,"1521.88","4.8954000000000004","24","35.64","8.48","9.9","60","61.84","35.840000000000003","17.177800000000001","111","241","0.08","66.944400000000002","258","71.666700000000006","73.44","20.399999999999999","13","19.079999999999998","0.08","262","158.80000000000001","35.08","11","18.760000000000002","0.08","149","185.52","35.24","150.32","315.72000000000003","80.040000000000006","271.32","-0.86402500000000004","-21.6006"
"NO_RI_1","Trial_15",37,"F","AB",2020-11-04,2021-07-13,0,1,2,"Control",1,"2468.84","7.5150300000000003","14","8.08","24.28","2.24444","86","134.52000000000001","0.04","37.366700000000002","100","194.12","0.08","53.922199999999997","309.27999999999997","85.911100000000005","37.76","10.488899999999999","138","141.28","0","53","46.64","11.32","111","141.44","0","45","44.8","11.32","1.24","297.95999999999998","186.4","298.56","-0.45392199999999999","-11.348000000000001"
"NO_RI_6","Trial_16",37,"F","AB",2020-11-04,2021-07-13,0,2,3,"Control",1,"2483.5500000000002","7.5653300000000003","36","29","22.24","8.0555599999999998","116","169.6","1.04","47.1111","93","137.47999999999999","0","38.188899999999997","308.24","85.622200000000007","32.840000000000003","9.1222200000000004","191","156.72","0.4","18","6.04","0","145","160.47999999999999","0.4","12","5.32","0","19.079999999999998","347.72","30.4","340.72","0.82713300000000001","20.6783"
"NT","Trial_17",39,"M","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",1,"2229.23","6.3699500000000002","28","25.32","0","7.0333300000000003","83","110.52","0.68","30.7","61","213.52","0.84","59.311100000000003","335.96","93.322199999999995","23.36","6.4888899999999996","129","154.96","1.1599999999999999","52","59.24","31.56","77","157.47999999999999","1.1599999999999999","37","58.36","31.72","1.1200000000000001","322.04000000000002","0.76","347.88","1.2259800000000001","30.6495"
"FO","Trial_18",39,"M","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",1,"2447.06","7.06264","65","155.44","6.04","43.177799999999998","102","161.4","2.84","44.833300000000001","41","35.56","0","9.8777799999999996","335.16","93.1","23.72","6.5888900000000001","29","10.08","0","36","9.16","3.64","19","9.92","0","29","7.88","3.64","2.84","359.16","58.12","326.08","1.9956499999999999","49.891199999999998"
"NO_RI_1","Trial_19",39,"M","AB",2020-11-04,2021-07-13,0,2,2,"Control",1,"2512.17","7.2064500000000002","94","222.44","10.52","61.788899999999998","135","112.68","2.92","31.3","40","21.76","0","6.0444399999999998","336.72","93.533299999999997","22.32","6.2","13","11.28","0","78","33.200000000000003","86.36","9","11.12","0","65","32.840000000000003","86.4","2.92","359.52","78.599999999999994","351.84","0.56619399999999998","14.1548"
"NO_RI_6","Trial_20",39,"M","AB",2020-11-04,2021-07-13,0,1,3,"Control",1,"2450.2600000000002","7.0580100000000003","94","184.4","5.6","51.222200000000001","128","139.88","3.88","38.855600000000003","39","30.36","0","8.4333299999999998","334.8","93","23.2","6.4444400000000002","12","7.48","0","134","49.56","5.16","11","6.96","0","85","52.72","5.16","3.88","353","5.6","353.48","-0.28345700000000001","-7.0864200000000004"
"NT","Trial_21",41,"M","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",1,"2698.8","7.60311","21","8.44","0.4","2.3447","74","99.6","0.92","27.669699999999999","63","242.44","0","67.351900000000001","328.72","91.321299999999994","30.28","8.4120500000000007","75","71.319999999999993","2.68","128","126.32","0","63","70.08","2.68","98","128.88","0","0.92","357.76","333.48","345.2","0.16362699999999999","4.0906700000000003"
"FO","Trial_22",41,"M","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",1,"1289.02","3.8662800000000002","34","150.84","2.04","42.030799999999999","39","203.08","0","56.587200000000003","7","2.92","0.44","0.81364199999999998","274.16000000000003","76.393199999999993","83.12","23.160900000000002","6","3.92","0.44","1","0.6","153.84","5","3.44","0.44","1","0.6","153.88","20.440000000000001","20.440000000000001","280.72000000000003","350.84","-0.980348","-24.508700000000001"
"NO_RI_1","Trial_23",41,"M","AB",2020-11-04,2021-07-13,0,1,2,"Control",1,"2519.25","7.3038600000000002","80","262.68","0.08","72.991","87","80.239999999999995","8.0399999999999991","22.296299999999999","22","13.96","0","3.87907","333.84","92.764300000000006","20.68","5.7463600000000001","24","5.2","0.44","20","13.32","0","22","4.5199999999999996","0.44","16","12.84","0","17.399999999999999","268.8","11","329.68","-0.80518000000000001","-20.1295"
"NO_RI_6","Trial_24",41,"M","AB",2020-11-04,2021-07-13,0,2,3,"Control",1,"2150.41","6.2042999999999999","84","173.52","0","48.2","83","186.36","2.88","51.7667","0","0","-","0","330.32","91.755600000000001","28.92","8.0333299999999994","1","0.04","337.6","23","7.44","164.52","0","0","-","18","6","164.68","-","-","-","-","0.78602300000000003","19.650600000000001"
"NT","Trial_25",43,"M","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",1,"2662.18","7.5716299999999999","45","52.56","0","14.6","103","151.47999999999999","0.64","42.077800000000003","54","144.88","1.1599999999999999","40.244399999999999","328.96","91.377799999999993","30.52","8.4777799999999992","80","65.8","1.92","93","94.52","6.72","57","66.84","1.92","63","93.36","9.16","65.599999999999994","259.2","0.68","339.12","0.20410200000000001","5.1025499999999999"
"FO","Trial_26",43,"M","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",1,"2234.63","6.5278900000000002","64","140.4","1.64","39","104","99.08","0.24","27.522200000000002","43","115","0","31.944400000000002","315.16000000000003","87.544399999999996","42.4","11.777799999999999","37","13.04","0","74","62.8","109.32","25","12.44","0","56","63.44","123.72","0.24","343.12","1.64","343.4","-1.29172","-32.292900000000003"
"NO_RI_1","Trial_27",43,"M","AB",2020-11-04,2021-07-13,0,2,3,"Control",1,"1482.66","4.4529699999999997","62","85.2","2","23.666699999999999","81","84.04","1.84","23.3444","33","185.88","0","51.633299999999998","245.16","68.099999999999994","109.16","30.322199999999999","128","69.040000000000006","1.84","22","7.6","3.6","92","87.16","1.84","13","7.32","3.6","1.84","295.04000000000002","128.24","347.04","-1.0894900000000001","-27.237200000000001"
"NO_RI_6","Trial_28",43,"M","AB",2020-11-04,2021-07-13,0,2,2,"Control",1,"1075.9100000000001","3.43696","4","1.72","1.44","0.47809699999999999","53","42.92","0","11.930199999999999","84","302.24","0.08","84.011600000000001","236.56","65.754900000000006","108.88","30.264600000000002","177","168.88","0","2","0.2","82.56","106","190.8","0","0","0","-","0.68","255.84","1.44","166.24","-0.24592","-6.1479999999999997"
"NT","Trial_29",45,"F","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",1,"2181.83","6.1508399999999996","34","191.2","105.48","53.1111","51","60.44","0","16.788900000000002","20","106.24","0.6","29.511099999999999","331.52","92.088899999999995","28.44","7.9","24","52.92","0","57","45.52","2.44","18","53.16","0","36","46.64","2.52","5.44","339","116.36","339.68","0.67199799999999998","16.8"
"FO","Trial_30",45,"F","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",1,"2961.74","8.3185599999999997","53","278.72000000000003","3.64","77.439400000000006","54","74.48","3.96","20.6935","3","6.44","0","1.78929","343.88","95.543499999999995","15.52","4.3120700000000003","3","3.76","0","27","11.76","176.72","1","3.64","0","22","10.8","178.2","189.84","189.84","190.8","282.27999999999997","1.02477","25.619299999999999"
"NO_RI_1","Trial_31",45,"F","AB",2020-11-04,2021-07-13,0,2,3,"Control",1,"3044.97","8.5542499999999997","81","205.88","0","57.1952","98","116.4","17.8","32.3369","17","34.479999999999997","118.24","9.5788399999999996","340.96","94.721599999999995","18.84","5.2339099999999998","11","2.88","156.68","44","10.6","117.88","7","2.52","156.76","36","10.16","117.88","125.32","339.92","18.36","318.04000000000002","-0.31707299999999999","-7.9268200000000002"
"NO_RI_6","Trial_32",45,"F","AB",2020-11-04,2021-07-13,0,1,2,"Control",1,"2926.34","8.1869300000000003","6","357.68","0","99.355599999999995","3","2.08","182.32","0.57777800000000001","0","0","-","0","337.72","93.811099999999996","21.68","6.0222199999999999","0","0","-","1","0.32","205.56","0","0","-","1","0.28000000000000003","205.6","-","-","-","-","-2.4446599999999998","-61.116500000000002"
"NT","Trial_33",47,"M","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",1,"3256.22","9.1128999999999998","79","75.84","7.4","21.066700000000001","161","130.52000000000001","1.92","36.255600000000001","90","145.76","0","40.488900000000001","348.68","96.855599999999995","11.28","3.1333299999999999","56","42.76","1.28","140","115.12","3.44","45","41.64","1.48","110","116.76","3.52","35.24","323.08","125.36","355.36","0.16912199999999999","4.22804"
"FO","Trial_34",47,"M","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",1,"1813.76","5.2113699999999996","26","287.72000000000003","3.28","80.216300000000004","32","67.599999999999994","0.12","18.846900000000002","7","1.52","0","0.42377599999999999","311.2","86.762600000000006","44.6","12.4345","1","0.04","138.16","12","3.48","0","0","0","-","11","3.32","0","0.12","2.16","3.28","310.32","-0.23678299999999999","-5.9195700000000002"
"NO_RI_1","Trial_35",47,"M","AB",2020-11-04,2021-07-13,0,2,2,"Control",1,"1764.12","5.0733899999999998","39","216.44","0","60.122199999999999","65","106.92","4.12","29.7","29","32.200000000000003","152.76","8.9444400000000002","315.83999999999997","87.7333","43.44","12.066700000000001","45","29.68","148.04","10","3.48","28.32","30","29.56","148.12","7","3.04","216.4","183.04","304.27999999999997","155.52000000000001","357.6","0.20194699999999999","5.0486700000000004"
"NO_RI_6","Trial_36",47,"M","AB",2020-11-04,2021-07-13,0,1,3,"Control",1,"1878.46","5.3323099999999997","28","260.48","1.1599999999999999","72.355599999999995","40","92.76","0.28000000000000003","25.7667","10","4.84","0.12","1.3444400000000001","323.95999999999998","89.988900000000001","35.64","9.9","30","19.920000000000002","1.1200000000000001","19","4.88","0.12","23","19","1.1200000000000001","9","3.84","0.12","0.28000000000000003","262.8","147.52000000000001","147.52000000000001","0.32648500000000003","8.1621199999999998"
"NT","Trial_37",49,"M","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",1,"2534.96","7.2518700000000003","0","0","-","0","52","51.12","0","14.2","55","299.56","0.4","83.211100000000002","331.32","92.033299999999997","28.52","7.9222200000000003","83","145.16","0","122","96.6","2.6","53","145.96","0","90","99.96","2.6","178.92","357.92","-","-","-0.51864399999999999","-12.966100000000001"
"FO","Trial_38",49,"M","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",1,"1991.97","5.9390799999999997","8","7.72","129.28","2.1444399999999999","45","55.76","3.8","15.488899999999999","59","289.39999999999998","0.04","80.388900000000007","317.95999999999998","88.322199999999995","35.520000000000003","9.8666699999999992","85","79.64","0.04","69","30.8","8.52","60","80.12","0.04","42","27.76","4.92","3.8","240.08","187.56","187.56","0.396175","9.9043700000000001"
"NO_RI_1","Trial_39",49,"M","AB",2020-11-04,2021-07-13,0,1,2,"Control",1,"2910.77","8.5420099999999994","17","9.52","11.16","2.6444399999999999","177","160.91999999999999","0.2","44.7","166","167.44","0","46.511099999999999","335.76","93.2667","18.600000000000001","5.1666699999999999","134","129.6","0","93","41","17.04","111","127.04","0","65","42.8","17.12","0.2","351.6","176.28","331.68","-2.71922","-67.980599999999995"
"NO_RI_6","Trial_40",49,"M","AB",2020-11-04,2021-07-13,0,2,3,"Control",1,"1254.24","4.8239999999999998","5","2.16","4.3600000000000003","0.6","14","19.600000000000001","4.5999999999999996","5.4444400000000002","72","296.2","0","82.277799999999999","196.6","54.6111","109.32","30.366700000000002","156","253.44","0.08","4","1.28","0.04","125","254.76","0.08","4","1.4","0.04","4.5999999999999996","4.5999999999999996","5.12","5.12","1.80684","45.170900000000003"
"NT","Trial_41",51,"F","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",1,"395.39600000000002","1.1006499999999999","1","0.12","0","3.3333300000000003E-2","0","0","-","0","1","359.88","0.12","99.966700000000003","65.08","18.0778","294.88","81.911100000000005","2","359","0.96","1","0.12","0.16","2","359.04","0.92","1","0.04","0.12","-","-","-","-","-4.7202000000000002","-118.005"
"FO","Trial_42",51,"F","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",1,"522.03","1.4706699999999999","0","0","-","0","0","0","-","0","3","359.76","0","99.933300000000003","72.040000000000006","20.011099999999999","284.56","79.044399999999996","5","306.52","0.16","8","2.52","0","5","306.64","0.16","5","2.72","0","-","-","-","-","5.2863499999999997","132.15899999999999"
"NO_RI_1","Trial_43",51,"F","AB",2020-11-04,2021-07-13,0,1,2,"Control",1,"401.21800000000002","1.17082","4","0.52","0.16","0.145122","14","1.64","2.3199999999999998","0.45769100000000001","42","349.88","0","97.644599999999997","28","7.8142399999999999","318.83999999999997","88.981899999999996","23","17.88","7.56","20","321.2","0","20","17.88","7.56","19","321.36","0","4.96","12.52","-","-","4.0716999999999999","101.792"
"NO_RI_6","Trial_44",51,"F","AB",2020-11-04,2021-07-13,0,1,3,"Control",1,"355.226","1.0160899999999999","2","0.32","9.76","8.8888900000000007E-2","1","0.08","2.56","2.2222200000000001E-2","8","354.56","0","98.488900000000001","38.76","10.7667","314.08","87.244399999999999","11","14.96","0","236","316.92","11.72","8","14.92","0","136","8.56","11.72","2.56","2.56","-","-","4.17666","104.416"
"NT","Trial_45",53,"M","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",1,"3539.18","10.0113","4","1.6","134.96","0.44444400000000001","58","67","73.760000000000005","18.6111","61","283.68","0","78.8","345.44","95.955600000000004","14.16","3.9333300000000002","122","115.36","2.4","117","85.28","0.4","108","116.8","2.2799999999999998","89","86.6","0.6","129.16","227.84","-","-","0.27673799999999998","6.9184599999999996"
"FO","Trial_46",53,"M","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",1,"3240.62","9.2854299999999999","73","166.64","4.5599999999999996","46.288899999999998","111","160.08000000000001","0","44.466700000000003","38","29.24","0.12","8.1222200000000004","342.52","95.144400000000005","15.12","4.2","54","33.36","0","52","14.96","42.88","41","34.119999999999997","0","35","14.08","42.96","131.84","359.92","16.600000000000001","224.64","0.75739100000000004","18.934799999999999"
"NO_RI_1","Trial_47",53,"M","AB",2020-11-04,2021-07-13,0,1,2,"Control",1,"3655.02","10.401300000000001","46","33.119999999999997","10.199999999999999","9.1999999999999993","134","268.68","0.04","74.633300000000006","82","43.12","0","11.9778","348.6","96.833299999999994","8.84","2.4555600000000002","96","65.760000000000005","0","120","69.8","39.200000000000003","78","64.36","0","90","67.08","39.32","0.04","305.68","21.92","77.36","0.31362600000000002","7.8406599999999997"
"NO_RI_6","Trial_48",53,"M","AB",2020-11-04,2021-07-13,0,2,3,"Control",1,"886.93499999999995","2.6899600000000001","5","7.44","4.28","2.0671300000000001","44","211.52","0","58.768599999999999","33","124.92","2.6","34.707700000000003","228.04","63.358499999999999","128.76","35.7746","2","4.24","0","4","0.2","144.4","2","4.24","0","0","0","-","3.48","80.88","4.28","301.12","-0.57321","-14.330299999999999"
"NT","Trial_49",55,"M","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",1,"2808.73","8.0710499999999996","22","20.440000000000001","8.0399999999999991","5.6784100000000004","89","111.4","2.12","30.947900000000001","83","211.36","0","58.717599999999997","334.36","92.888099999999994","19.12","5.3117000000000001","64","83.84","0.16","131","109.12","10.76","57","84.76","7.64","103","110.24","10.8","124.08","230.96","145.32","157.47999999999999","-1.0104900000000001","-25.2622"
"FO","Trial_50",55,"M","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",1,"1688.51","5.2765899999999997","0","0","-","0","27","19.559999999999999","131.76","5.4333299999999998","79","327.68","0.12","91.022199999999998","253.36","70.377799999999993","91.6","25.444400000000002","89","78.08","0.12","226","115.6","5.28","65","82.2","0.12","100","169.72","5.32","237.84","318.83999999999997","-","-","-0.21709700000000001","-5.4274199999999997"
"NO_RI_1","Trial_51",55,"M","AB",2020-11-04,2021-07-13,0,1,2,"Control",1,"2630.23","7.6647299999999996","31","24.2","21.88","6.7222200000000001","94","233.8","2.48","64.944400000000002","63","89.28","0","24.8","332.88","92.466700000000003","21.68","6.0222199999999999","57","52.96","0","145","89.8","16","53","51.76","0","114","89.12","16.079999999999998","2.48","313.83999999999997","21.88","230.28","-2.8081999999999998","-70.204999999999998"
"NO_RI_6","Trial_52",55,"M","AB",2020-11-04,2021-07-13,0,2,3,"Control",1,"1764.82","5.4978800000000003","21","9","13.76","2.5","84","161.63999999999999","0","44.9","83","168.24","0.4","46.7333","256.08","71.133300000000006","88.44","24.566700000000001","113","176.48","0","75","42.24","162.96","70","178.28","0","53","41.6","163","0.56000000000000005","335.88","318.83999999999997","354.16","0.53332100000000005","13.333"
"NT","Trial_53",57,"M","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",1,"3509.75","9.9111999999999991","45","53.88","64.72","14.966699999999999","108","137.32","40.159999999999997","38.144399999999997","60","159.72","0","44.366700000000002","345.12","95.866699999999994","14.72","4.0888900000000001","80","61.44","0","129","105.4","1.28","60","61.56","0","114","105.08","1.28","117.4","303.88","87.32","300.44","-0.75105699999999997","-18.776399999999999"
"FO","Trial_54",57,"M","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",1,"2754.94","8.3251000000000008","67","113.4","26.84","31.521000000000001","159","140.47999999999999","1.44","39.048299999999998","88","93.12","0","25.883900000000001","330.6","91.894599999999997","18.48","5.1367599999999998","35","30.64","7.08","149","65.959999999999994","0.08","29","30.92","3.2","105","68.36","0.08","2.96","324.60000000000002","26.84","295.64","-2.3588399999999998","-58.9711"
"NO_RI_1","Trial_55",57,"M","AB",2020-11-04,2021-07-13,0,1,3,"Control",1,"2319.0100000000002","6.7248799999999997","67","107.76","11.76","29.933299999999999","108","176.8","7.64","49.1111","36","67.08","0","18.633299999999998","337.16","93.655600000000007","20.079999999999998","5.5777799999999997","82","70.959999999999994","0","38","16.96","8.64","59","70.92","0","27","16.04","24.24","7.64","222","11.76","350.08","0.21815799999999999","5.4539499999999999"
"NO_RI_6","Trial_56",57,"M","AB",2020-11-04,2021-07-13,0,2,2,"Control",1,"2290.4","6.7539600000000002","56","165","18.32","45.833300000000001","97","142.16","0.04","39.488900000000001","26","45.24","95.64","12.566700000000001","332.36","92.322199999999995","20.440000000000001","5.6777800000000003","57","40.36","0.04","44","26.8","83.28","45","39.44","0.04","32","26","83.36","168.8","311","61.84","350.32","-0.352906","-8.8226600000000008"
"NT","Trial_1",32,"F","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",2,"2122.2199999999998","6.24404","1","0.64","304.92","0.17777799999999999","26","36.6","2.16","10.166700000000001","34","321.64","0","89.344399999999993","323.04000000000002","89.7333","35.159999999999997","9.7666699999999995","45","72.88","2.16","84","150.24","0","33","72.36","2.16","54","150","0","4.84","285.76","-","-","4.6209199999999999E-2","1.15523"
"FO","Trial_2",32,"F","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",2,"1895.86","5.5714800000000002","12","49.88","32.24","13.855600000000001","76","164.72","3.48","45.755600000000001","62","140.80000000000001","0","39.1111","311.44","86.511099999999999","42.88","11.911099999999999","33","28.48","0","85","122.96","3.84","26","27.28","0","57","122.2","3.92","3.48","352.12","-","-","-0.22223899999999999","-5.5559700000000003"
