"Test","Trial","Subject","Sex","Strain","DOB","Testing_Date","Week_of_Enrichment","Novel_Object...9","Novel_Object...10","Treatment","Testing_Tank","Distance_moved","Velocity","In_zone","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","Movement","...28","...29","...30","Novel_Object_Zone","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","Zone_transition","...44","...45","...46","Turn_angle","Angular_velocity"
"NO_RI_6","Trial_16",37,"M","AB",2020-11-04,2021-07-26,2,"1","2","control","1","2914.49","8.3768799999999999","113","192.88","2.44","53.577800000000003","124","159.88","2","44.411099999999998","13","5.24","0","1.45556","335.2","93.111099999999993","21.04","5.8444399999999996","21","8.8000000000000007","0","51","18.88","16.48","17","8.1999999999999993","0","38","16.72","16.52","2","7.64","2.44","356.6","-0.39703100000000002","-9.92577"
"NT","Trial_17",39,"M","AB",2020-11-04,2021-07-26,2,NA,NA,"control","1","2633.87","7.5521099999999999","39","35.64","0","9.9","94","143.6","0.04","39.8889","48","170.04","1.08","47.2333","336.6","93.5","21.84","6.0666700000000002","120","81.08","0.28000000000000003","105","94.96","2.96","91","82.2","0.28000000000000003","70","99.8","3","173.4","341","0.12","301.32","-0.52817599999999998","-13.2044"
"FO","Trial_18",39,"M","AB",2020-11-04,2021-07-26,2,NA,NA,"control","1","2527.27","7.59396","85","224.64","0.96","62.4","114","95.84","0.12","26.622199999999999","46","28.12","0","7.8111100000000002","324.88","90.244399999999999","18.96","5.2666700000000004","25","18.72","5.4","116","46.16","0","23","18.68","5.4","77","45.96","0","0.12","218.24","35.92","359.52","-2.1144400000000001","-52.8611"
"NO_RI_1","Trial_19",39,"M","AB",2020-11-04,2021-07-26,2,"1","3","control","1","2587.54","8.3652499999999996","41","19.559999999999999","10.199999999999999","5.4333299999999998","254","148.04","0.84","41.122199999999999","236","177.32","0.08","49.255600000000001","326.04000000000002","90.566699999999997","21.12","5.8666700000000001","3","0.72","107.44","188","269.12","0","2","0.64","107.48","135","271.68","0","0.84","346.16","49.4","341.28","-3.7559200000000001","-93.897999999999996"
"NO_RI_6","Trial_20",39,"M","AB",2020-11-04,2021-07-26,2,"2","2","control","1","3143.58","8.9275900000000004","98","111.72","0.8","31.033300000000001","148","181.52","0","50.422199999999997","50","60.76","0.04","16.877800000000001","343.76","95.488900000000001","15","4.1666699999999999","98","39.24","0","85","70.64","3.52","69","37.24","0","64","69.52","3.52","0.64","321.92","2.8","317.88","-3.1908699999999999","-79.771900000000002"
"NT","Trial_21",41,"M","AB",2020-11-04,2021-07-26,2,NA,NA,"control","1","2844.22","8.0028699999999997","43","58.4","0","16.222200000000001","79","106.76","52.96","29.6556","39","188.84","0.12","52.455599999999997","341.44","94.844399999999993","18.48","5.1333299999999999","152","94.12","0.12","78","70.64","24.4","102","95.72","0.12","51","71.2","24.4","283.08","315.8","148.88","323.32","0.53115299999999999","13.2788"
"FO","Trial_22",41,"M","AB",2020-11-04,2021-07-26,2,NA,NA,"control","1","2316.0300000000002","6.83033","63","150.56","8.68","41.822200000000002","122","99.52","0","27.644400000000001","73","102.4","0.32","28.444400000000002","329.28","91.466700000000003","22.4","6.2222200000000001","53","25.16","0","119","51.48","12.16","40","23.96","0","78","53.28","12.4","3.28","353.28","29.28","330.28","-9.9354799999999993E-2","-2.48387"
"NO_RI_1","Trial_23",41,"M","AB",2020-11-04,2021-07-26,2,"2","3","control","1","3082.72","9.1791199999999993","93","135.96","2.3199999999999998","38.109699999999997","146","126.64","0.16","35.497300000000003","86","85.8","0","24.049800000000001","339.68","95.212500000000006","10.64","2.9824000000000002","104","63.92","0.16","64","27.96","0","89","65.16","0.16","45","27.84","0","0.16","304.88","28","340","0.59266700000000005","14.816700000000001"
"NO_RI_6","Trial_24",41,"M","AB",2020-11-04,2021-07-26,2,"1","2","control","1","2367.5100000000002","6.9347200000000004","70","151","0","41.944400000000002","124","126.48","0.52","35.133299999999998","57","74.040000000000006","4.4000000000000004","20.566700000000001","334.08","92.8","21.6","6","141","67.680000000000007","11.08","44","24.64","4.4000000000000004","95","66.400000000000006","11.16","33","24.8","4.4000000000000004","157.47999999999999","284.68","25.4","352.32","0.28010099999999999","7.0025300000000001"
"NT","Trial_25",43,"F","AB",2020-11-04,2021-07-26,2,NA,NA,"control","1","1432.23","4.0481199999999999","7","8.4","228.52","2.3333300000000001","27","38.76","137.96","10.7667","19","310.32","0","86.2","187.56","52.1","172.12","47.811100000000003","54","162.68","0.56000000000000005","51","83.24","0","36","163.04","0.6","33","85.2","0","-","-","228.52","301.60000000000002","-2.1716199999999999","-54.290500000000002"
"FO","Trial_26",43,"F","AB",2020-11-04,2021-07-26,2,NA,NA,"control","1","1167.3599999999999","3.4273699999999998","5","2.92","5.8","0.81111100000000003","34","24.4","0.2","6.7777799999999999","55","325.83999999999997","0","90.511099999999999","178.4","49.555599999999998","174.72","48.533299999999997","24","169.8","0","122","113.12","5.96","21","169.96","0","73","123.4","5.96","0.2","291.56","246.28","321.04000000000002","2.2751399999999999","56.878500000000003"
"NO_RI_1","Trial_27",43,"F","AB",2020-11-04,2021-07-26,2,"2","3","control","1","2079.35","6.3132900000000003","10","7.72","103.24","2.1465900000000002","49","46.76","57.16","13.001899999999999","78","292.24","0","81.259","302.08","83.995099999999994","46.56","12.946300000000001","93","63.32","7.2","117","147","3.6","55","67.12","62.72","88","152","3.6","57.16","308.2","103.24","309.44","0.45696700000000001","11.424200000000001"
"NO_RI_6","Trial_28",43,"F","AB",2020-11-04,2021-07-26,2,"1","2","control","1","2405.66","7.1639799999999996","16","12.96","39.880000000000003","3.6","93","103.64","0.08","28.788900000000002","83","229.04","0.2","63.622199999999999","304.16000000000003","84.488900000000001","49.76","13.8222","99","74.88","0","120","105.16","5.84","56","78.64","0","94","107.36","6.04","0.36","352.72","163.04","254.72","1.57273","39.318300000000001"
"NT","Trial_29",45,"M","AB",2020-11-04,2021-07-26,2,NA,NA,"control","1","2865.45","8.0990800000000007","39","237.8","0.08","66.055599999999998","60","106.28","0.16","29.522200000000002","22","11.2","0.04","3.11111","345.04","95.844399999999993","14.64","4.0666700000000002","47","31.72","0","27","11.72","0.72","34","31","0","17","11.48","0.72","-","-","0.24","118.52","-0.85431500000000005","-21.357900000000001"
"FO","Trial_30",45,"M","AB",2020-11-04,2021-07-26,2,NA,NA,"control","1","2125.4899999999998","6.1211099999999998","21","87.68","0","24.3691","49","116","0.88","32.240099999999998","28","148.28","1.08","41.211799999999997","320.56","89.093900000000005","38.119999999999997","10.594799999999999","8","1.8","0.88","12","2.68","0.16","5","1.1599999999999999","0.88","6","2.12","0.16","224.44","309.64","60.24","230.48","-0.90670899999999999","-22.6677"
"NO_RI_1","Trial_31",45,"M","AB",2020-11-04,2021-07-26,2,"1","2","control","1","2335.0500000000002","6.5283199999999999","45","303.83999999999997","0","84.4","49","44.68","0.2","12.411099999999999","6","11","7.16","3.0555599999999998","339.08","94.188900000000004","20.64","5.7333299999999996","5","1","7.36","26","7.28","5.52","4","0.84","7.48","14","6.04","5.6","-","-","12.56","339.32","-1.3958999999999999","-34.897599999999997"
"NO_RI_6","Trial_32",45,"M","AB",2020-11-04,2021-07-26,2,"1","3","control","1","2524.9699999999998","7.0671999999999997","51","269.2","0","74.777799999999999","54","87","3.36","24.166699999999999","3","3.2","134.96","0.88888900000000004","339.84","94.4","20.12","5.5888900000000001","7","0.72","131.12","4","0.56000000000000005","221.28","1","0.28000000000000003","279.36","2","0.44","221.4","-","-","-","-","-0.31054599999999999","-7.7636599999999998"
"NT","Trial_33",47,"M","AB",2020-11-04,2021-07-26,2,NA,NA,"control","1","3846.61","10.783300000000001","13","5.56","109.12","1.54444","101","184.24","13.8","51.177799999999998","87","153.24","0","42.566699999999997","350.72","97.422200000000004","9.16","2.5444399999999998","159","84.52","1.52","141","104.32","0","113","86.24","1.56","109","104.2","0","80.760000000000005","323.24","110.32","352.88","0.67696800000000001","16.924199999999999"
"FO","Trial_34",47,"M","AB",2020-11-04,2021-07-26,2,NA,NA,"control","1","3811.05","10.837899999999999","53","58.68","6.36","16.3","117","263.27999999999997","0.8","73.133300000000006","48","30.56","0","8.4888899999999996","349.92","97.2","7.8","2.1666699999999999","96","46.72","0.08","149","72.319999999999993","27.6","75","46.68","0.08","102","72.599999999999994","27.68","0.96","337.32","-","-","1.10595","27.648700000000002"
"NO_RI_1","Trial_35",47,"M","AB",2020-11-04,2021-07-26,2,"1","3","control","1","3891.63","11.0357","27","17.079999999999998","15.84","4.74444","103","292.08","0","81.133300000000006","69","38.840000000000003","46.92","10.7889","351.04","97.511099999999999","8.0399999999999991","2.23333","89","37.64","41.76","186","124.24","1.32","65","36.36","41.72","136","122.48","1.44","51.12","155.76","37.92","37.92","-0.37829699999999999","-9.4574099999999994"
"NO_RI_6","Trial_36",47,"M","AB",2020-11-04,2021-07-26,2,"2","2","control","1","4094.26","11.553900000000001","18","12.4","63.56","3.4452099999999999","96","297.64","0","82.696200000000005","66","37.24","4.76","10.3467","354.72","98.555199999999999","4.5999999999999996","1.27806","120","77.56","5.16","145","91.24","2.2799999999999998","84","77.599999999999994","5.08","116","89.6","2.4","104.92","335.08","-","-","-0.10324999999999999","-2.5812400000000002"
"NT","Trial_37",49,"F","AB",2020-11-04,2021-07-26,2,NA,NA,"control","1","2200.91","6.1670800000000003","36","91.96","81.28","25.5444","74","124.96","60.92","34.711100000000002","37","137.6","0","38.222200000000001","307.83999999999997","85.511099999999999","52.08","14.466699999999999","116","80.8","0","81","79.64","3","55","73.8","0","48","83.96","3.08","181.32","349.4","81.28","318.48","1.19862","29.965499999999999"
"FO","Trial_38",49,"F","AB",2020-11-04,2021-07-26,2,NA,NA,"control","1","1409.67","5.0180400000000001","26","78.08","8.64","21.729900000000001","49","61.44","0.48","17.099","77","166.16","0","46.242899999999999","216.76","60.325099999999999","81.52","22.6873","41","23.44","0","105","160.91999999999999","10.96","40","23.32","0","72","165.36","11.08","0.48","304.39999999999998","86.2","358.08","-0.79364999999999997","-19.8413"
"NO_RI_1","Trial_39",49,"F","AB",2020-11-04,2021-07-26,2,"1","3","control","1","442.56299999999999","2.0883500000000002","8","8.24","0.16","2.2894000000000001","19","11.64","1.1599999999999999","3.2340499999999999","70","207.08","0","57.534999999999997","72.239999999999995","20.071100000000001","151.04","41.9649","7","1.72","0","84","208.24","1.1599999999999999","7","1.76","0","70","209.2","1.1599999999999999","1.1599999999999999","263.24","178.76","178.76","-2.1537099999999998","-53.842799999999997"
"NT","Trial_41",51,"F","AB",2020-11-04,2021-07-26,2,NA,NA,"control","1","2435.38","7.0086899999999996","51","141.91999999999999","65.2","39.422199999999997","100","98.32","0","27.3111","47","112.8","0.12","31.333300000000001","336.92","93.588899999999995","21.36","5.9333299999999998","50","40.96","0","86","83.28","3.56","41","41","0","61","83.6","3.64","1.4","350.32","76.84","350.84","0.12585199999999999","3.14629"
"FO","Trial_42",51,"F","AB",2020-11-04,2021-07-26,2,NA,NA,"control","1","2590.09","7.2943699999999998","44","274.72000000000003","0.68","76.311099999999996","54","79.760000000000005","0","22.1556","10","3.88","221.16","1.07778","340","94.444400000000002","19.760000000000002","5.4888899999999996","15","3.96","0.2","16","4.5199999999999996","15.88","10","3.32","0.28000000000000003","7","4.16","16.079999999999998","221.72","343.52","90.2","348.08","-9.7692799999999996E-2","-2.44232"
"NO_RI_1","Trial_43",51,"F","AB",2020-11-04,2021-07-26,2,"2","2","control","1","1759.71","5.0846999999999998","62","145.84","18.28","40.520099999999999","109","141.16","0","39.219799999999999","46","64.680000000000007","0.24","17.970700000000001","324.04000000000002","90.031099999999995","33.72","9.3687500000000004","23","8.8000000000000007","0","90","81.2","7","12","7.6","0","49","82.92","7.16","1.64","305.12","29.12","324.8","-0.36464800000000003","-9.1161999999999992"
"NO_RI_6","Trial_44",51,"F","AB",2020-11-04,2021-07-26,2,"2","3","control","1","1556.92","4.4997699999999998","41","87.8","0.32","24.3889","75","212.92","0","59.144399999999997","33","50.28","0.24","13.966699999999999","308.60000000000002","85.722200000000001","50.44","14.011100000000001","54","20.079999999999998","0.24","25","13.56","119.52","28","18.239999999999998","0.24","17","13.64","119.88","81.88","238.88","224.28","354.08","-0.110968","-2.7741899999999999"
"NT","Trial_45",53,"M","AB",2020-11-04,2021-07-26,2,NA,NA,"control","1","2855.9","8.0015199999999993","55","72.52","68.84","20.144400000000001","118","106.68","9.0399999999999991","29.633299999999998","66","172.12","0","47.811100000000003","345.08","95.855599999999995","14.84","4.1222200000000004","95","81.040000000000006","3.2","68","80.400000000000006","0.12","82","81.239999999999995","3.24","60","80.28","0.2","116.96","350.28","68.84","355.76","-0.175875","-4.3968800000000003"
"FO","Trial_46",53,"M","AB",2020-11-04,2021-07-26,2,NA,NA,"control","1","2281.34","6.4729799999999997","46","247.24","0","68.677800000000005","71","51.28","0.2","14.244400000000001","28","58.6","79","16.277799999999999","337.52","93.755600000000001","21.28","5.9111099999999999","16","5.76","0.2","41","44.36","167","12","5.24","0.2","29","44.72","181.64","170.36","310.48","0.48","351.36","0.68835199999999996","17.2088"
"NO_RI_1","Trial_47",53,"M","AB",2020-11-04,2021-07-26,2,"2","3","control","1","1847.56","5.4136300000000004","69","121.56","0","33.7667","110","98.72","6.8","27.4222","60","132.47999999999999","7.84","36.799999999999997","316.44","87.9","37.479999999999997","10.411099999999999","71","35.520000000000003","6.92","100","94.88","9.1999999999999993","48","36.200000000000003","7.08","70","96.08","9.32","49.52","347.04","50.08","340.64","-9.9534499999999998E-2","-2.4883600000000001"
"NO_RI_6","Trial_48",53,"M","AB",2020-11-04,2021-07-26,2,"1","2","control","1","2118.8200000000002","6.21427","82","153.56","3.6","42.6556","123","103.2","1.52","28.666699999999999","63","94","0","26.1111","324.2","90.055599999999998","27.24","7.5666700000000002","45","23.96","0","93","82.88","22.6","35","24","0","79","83.72","22.76","1.52","334.08","28.56","334.6","-0.89362399999999997","-22.340599999999998"
"NT","Trial_49",55,"M","AB",2020-11-04,2021-07-26,2,NA,NA,"control","1","3119.15","8.7972400000000004","150","118.32","0.76","32.8703","216","194.04","0","53.905999999999999","61","41.84","9.36","11.6235","351.04","97.521900000000002","8.84","2.4558300000000002","59","25.32","4.5199999999999996","167","101.92","1.56","47","24.8","8","132","101.76","1.6","11.44","346.72","0.76","339.16","-2.07931","-51.982700000000001"
"FO","Trial_50",55,"M","AB",2020-11-04,2021-07-26,2,NA,NA,"control","1","3194.95","9.1692800000000005","75","317.95999999999998","0","88.322199999999995","76","38.880000000000003","36.92","10.8","8","2.4","177.36","0.66666700000000001","329.04","91.4","28.88","8.0222200000000008","9","3.36","94.16","35","12.48","225.04","7","3","159.44","25","12.44","237.76","277.76","358.8","94.44","359.16","0.32442799999999999","8.1106999999999996"
"NO_RI_1","Trial_51",55,"M","AB",2020-11-04,2021-07-26,2,"2","3","control","1","2592.4299999999998","7.5212599999999998","187","184.48","0.36","51.244399999999999","232","146.80000000000001","0.12","40.777799999999999","41","25.08","48.2","6.9666699999999997","339.92","94.422200000000004","18.84","5.2333299999999996","162","44.2","8.24","4","1.88","110.6","103","44.36","18.760000000000002","4","1.8","110.68","48.68","356.88","0.36","357.16","-0.83058200000000004","-20.764500000000002"
"NO_RI_6","Trial_52",55,"M","AB",2020-11-04,2021-07-26,2,"1","2","control","1","2293.2399999999998","6.7085299999999997","183","172.68","0.08","48.587499999999999","223","147.08000000000001","1.96","41.384399999999999","41","31.92","0","8.9814299999999996","330.56","93.0107","23.96","6.7416999999999998","123","46.72","7.76","5","1.52","0","78","46.4","7.96","5","1.44","0","45.4","333.68","2.6","351.6","6.6669400000000004E-2","1.66673"
"NT","Trial_53",57,"F","AB",2020-11-04,2021-07-26,2,NA,NA,"control","1","2113.69","6.0322300000000002","19","19.52","159.76","5.4222200000000003","78","220.88","1.1200000000000001","61.355600000000003","59","98.32","0.16","27.3111","334.16","92.822199999999995","25.56","7.1","71","56.52","0.36","83","76.48","4","49","55.32","0.44","60","74.319999999999993","4.08","63.96","257.83999999999997","203.36","328.08","7.8740400000000002E-2","1.96851"
"FO","Trial_54",57,"F","AB",2020-11-04,2021-07-26,2,NA,NA,"control","1","1715.89","4.9880599999999999","10","7.88","1.08","2.1888899999999998","76","271.04000000000002","0","75.288899999999998","57","62.24","12.12","17.288900000000002","317.72000000000003","88.255600000000001","41.6","11.5556","59","21.32","2.88","4","1.04","249.28","41","18.12","2.96","3","0.8","249.48","15.92","216.04","-","-","-0.113695","-2.8423799999999999"
"NO_RI_1","Trial_55",57,"F","AB",2020-11-04,2021-07-26,2,"2","2","control","1","2146.5","6.21455","24","23.24","71.64","6.4577099999999996","75","221.48","0.08","61.542700000000004","52","99.44","0","27.631399999999999","331.2","92.030699999999996","26.44","7.3468900000000001","123","72","0","3","0.12","144.6","93","74.8","0","0","0","-","0.08","209.52","155.4","155.4","0.41655500000000001","10.4139"
"NO_RI_6","Trial_56",57,"F","AB",2020-11-04,2021-07-26,2,"2","3","control","1","2347.19","6.7231699999999996","40","95.84","34","26.622199999999999","50","257.64","0","71.566699999999997","7","3.84","3.24","1.06667","338.88","94.133300000000006","20.84","5.7888900000000003","112","58.88","0.12","1","0.04","309.32","87","61.16","0","0","0","-","-","-","266.64","266.64","-9.9461400000000005E-2","-2.4865400000000002"
"NT","Trial_1",32,"M","AB",2020-11-04,2021-07-26,2,NA,NA,"control","2","2857.62","8.3526900000000008","8","9.2799999999999994","330","2.5777800000000002","59","51.96","45.92","14.433299999999999","52","298.76","0","82.988900000000001","336.96","93.6","22.6","6.2777799999999999","89","107.32","2.2799999999999998","84","87.4","9","58","107.88","2.2799999999999998","57","85.88","8.9600000000000009","62.44","67.52","-","-","1.4331499999999999","35.828699999999998"
"FO","Trial_2",32,"M","AB",2020-11-04,2021-07-26,2,NA,NA,"control","2","2332.27","7.4589800000000004","47","70.36","0.04","19.5444","118","179.08","1.6","49.744399999999999","75","105.68","17.88","29.355599999999999","325.8","90.5","25.88","7.1888899999999998","80","82.08","5.36","241","72.44","11.64","58","82.36","8.1999999999999993","161","75.84","14.72","29.92","323.2","65.8","174.72","1.62521","40.630200000000002"
"NO_RI_1","Trial_3",32,"M","AB",2020-11-04,2021-07-26,2,"1","3","control","2","2170.15","6.9016299999999999","33","20.36","5.32","5.65618","114","214.32","0","59.539900000000003","87","117.48","4.88","32.637","313.04000000000002","86.965199999999996","35.119999999999997","9.7566400000000009","17","13.72","57.48","342","185.28","4","14","13.56","57.56","222","193.24","4.12","4.96","357.92","257.27999999999997","344.52","0.400696","10.0174"
"NO_RI_6","Trial_4",32,"M","AB",2020-11-04,2021-07-26,2,"1","2","control","2","1544.27","4.6978099999999996","1","1.76","211.72","0.48888900000000002","36","42.76","0","11.877800000000001","52","311.83999999999997","0.64","86.622200000000007","288.56","80.155600000000007","64.88","18.022200000000002","64","99.04","32.92","82","70.319999999999993","0","44","100.84","33.08","48","68.72","0","113","113","-","-","6.3780299999999998E-2","1.5945100000000001"
"NT","Trial_5",34,"M","AB",2020-11-04,2021-07-26,2,NA,NA,"control","2","3334.4","9.6716599999999993","93","65.8","127.04","18.277799999999999","113","182.08","85.4","50.577800000000003","21","112.12","0","31.144400000000001","343","95.277799999999999","16.72","4.6444400000000003","48","43.96","0","232","99.36","0.96","39","43.52","0","158","101.04","1","98.04","288.72000000000003","205.32","330.96","1.8355900000000001","45.889699999999998"
